,x,y,w,h,protein,TE,avg_gray,25_gray,50_gray,75_gray
4,648,380,72,47,0.12,144,190.3700980392157,182.0,190.0,197.0
4,788,375,71,47,0.13,144,191.2315369261477,184.0,191.0,198.0
4,926,378,69,47,0.12,144,180.08117099135063,175.0,181.0,183.0
5,375,486,78,49,0.07,144,179.68298235628913,169.0,181.0,186.0
5,504,483,76,49,0.12,144,186.42108262108263,181.0,187.0,192.0
5,649,473,74,49,0.11,144,190.37627934978929,184.0,190.0,195.0
5,794,470,71,46,0.12,144,185.6479949077021,181.0,186.0,190.0
5,935,472,70,46,0.11,144,174.8215223097113,169.0,175.0,179.0
6,372,576,80,50,0.06,144,180.02142110762802,174.0,181.0,184.0
6,508,577,75,51,0.11,144,186.91335941866964,179.0,187.0,193.0
6,648,571,72,47,0.1,144,186.01832620647525,177.0,186.0,192.0
6,784,573,70,48,0.11,144,188.32755417956656,182.0,188.0,194.0
6,932,570,70,45,0.1,144,175.53489932885907,170.0,175.0,179.0
7,385,674,78,51,0.07,144,179.02975885069267,173.0,179.0,183.0
7,530,669,72,48,0.1,144,195.44437577255871,186.0,195.0,203.0
7,652,663,68,46,0.1,144,209.22337482710927,202.0,209.0,215.0
7,787,666,68,45,0.1,144,201.52875952875954,196.0,201.0,207.0
7,931,669,67,44,0.1,144,193.28511821974965,188.0,193.0,198.0
8,411,767,78,49,0.06,144,187.1012658227848,181.0,187.0,191.0
8,546,760,65,42,0.09,144,199.343797856049,191.0,199.0,206.0
8,681,756,59,39,0.09,144,191.41078066914497,182.0,191.0,199.0
8,786,755,58,39,0.09,144,194.97390493942217,188.0,195.0,202.0
8,910,761,62,39,0.09,144,187.49265341400172,182.0,187.0,193.0
1,380,91,75,50,0.09,153,171.11610700056914,165.0,172.0,175.0
1,506,89,68,47,0.17,153,178.78037974683545,174.0,179.0,182.0
1,649,86,62,43,0.15,153,167.6128526645768,163.0,168.0,170.0
1,786,84,60,44,0.17,153,168.40474100087798,164.0,169.0,172.0
1,904,87,63,45,0.15,153,167.4731182795699,164.0,167.0,170.0
1,1033,83,62,42,0.0,153,163.96043444530645,160.0,165.0,166.0
2,365,188,76,48,0.07,153,179.5187074829932,174.0,180.0,183.0
2,509,187,73,49,0.15,153,191.89699823425545,184.0,193.0,197.0
2,636,186,69,47,0.13,153,179.56304202801869,175.0,180.0,183.0
2,787,180,67,46,0.15,153,189.71524966261808,186.0,189.0,194.0
2,929,176,67,45,0.13,153,173.95399858457182,166.0,173.0,181.0
2,1045,181,65,41,0.0,153,171.35126825518833,164.0,172.0,176.0
3,369,288,77,49,0.08,153,183.6848484848485,177.0,184.0,188.0
3,503,286,75,49,0.14,153,195.93542654028437,188.0,196.0,202.0
3,644,292,72,50,0.13,153,180.18516320474777,173.0,180.0,186.0
3,785,278,69,47,0.14,153,194.77998717126363,187.0,194.0,200.0
3,917,274,68,45,0.13,153,182.6538969616909,178.0,182.0,186.0
4,369,384,81,52,0.07,153,184.65854895991882,178.0,185.0,190.0
4,505,380,73,48,0.13,153,177.83469150174622,172.0,178.0,183.0
4,648,380,72,47,0.12,153,191.77935723114956,183.0,192.0,197.0
4,788,375,71,46,0.13,153,193.4852752880922,185.0,194.0,199.0
4,926,378,69,47,0.12,153,181.99472643375083,177.0,181.0,186.0
5,375,486,78,49,0.07,153,182.85002862049228,172.0,185.0,189.0
5,504,483,76,48,0.12,153,188.18596691386196,181.0,188.0,194.0
5,649,473,74,49,0.11,153,191.98200992555832,187.0,193.0,196.0
5,794,470,71,46,0.12,153,187.78535980148882,181.0,187.0,193.0
5,935,472,70,46,0.11,153,177.5731707317073,173.0,178.0,181.0
6,372,576,80,50,0.06,153,182.76927056389033,176.0,183.0,187.0
6,508,578,75,50,0.11,153,188.31614730878186,181.0,188.0,195.0
6,648,571,72,47,0.1,153,186.6144945188794,179.0,187.0,193.0
6,784,573,70,48,0.11,153,189.95545796737767,183.0,190.0,194.0
6,932,570,70,45,0.1,153,177.22265625,173.0,177.0,181.0
7,385,674,78,51,0.07,153,182.03894736842105,176.0,182.0,186.0
7,529,669,73,48,0.1,153,198.459324155194,189.0,199.0,205.0
7,652,663,68,46,0.1,153,210.59697386519946,202.0,211.0,217.0
7,786,666,69,44,0.1,153,202.5487144790257,197.0,202.0,207.0
