,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
452,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),189,179.15500538213132,173.0,179.0,183.0
158,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),135,186.28650749583565,181.0,187.0,191.0
116,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),126,183.85864424592748,177.0,184.0,188.0
1040,7,385,674,78,51,0.0702,clIscA1/clCry4(LB +FAC),99,184.3842887473461,179.0,185.0,188.0
1004,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),90,207.67313664596276,199.0,208.0,215.0
332,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),171,205.66306861989207,196.0,206.0,213.0
584,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),216,202.8141660319878,194.0,202.0,210.0
542,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),207,203.04481132075472,195.0,203.0,211.0
248,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),153,203.78341013824885,195.0,203.0,211.0
752,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),45,205.91908876669285,198.0,206.0,213.0
1046,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),99,205.80970724191064,197.0,205.0,213.0
794,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),54,206.78384615384616,199.0,206.0,214.0
38,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),108,207.6633813495072,200.0,207.0,215.0
920,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),81,210.44669260700388,203.0,210.0,217.0
458,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),189,201.03870458135864,193.0,200.0,208.0
290,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),162,202.4547600314713,195.0,202.0,209.0
416,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),180,202.2312,195.0,202.0,210.0
122,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),126,204.3520126282557,196.0,203.0,212.0
668,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),27,208.0015625,199.0,208.0,216.0
164,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),135,209.19330289193303,200.0,208.0,217.0
878,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),72,205.69945355191257,198.0,204.0,214.0
626,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),225,203.44579226686884,196.0,203.0,211.0
710,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),36,207.02719502719503,199.0,207.0,214.0
374,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),18,210.8679389312977,203.0,210.0,218.0
80,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),117,206.8312693498452,199.0,207.0,213.0
206,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),144,199.343797856049,191.0,199.0,206.0
836,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),63,206.80510440835263,198.0,206.0,214.0
962,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),9,208.3328267477204,199.0,207.0,217.0
500,8,546,760,65,42,0.0901,clIscA1/clCry4(LB +FAC),198,205.9074215761285,197.0,205.0,212.0
376,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),18,208.1542750929368,201.0,207.0,214.0
418,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),180,198.8720152817574,191.0,199.0,206.0
292,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),162,195.7293790546803,188.0,195.0,202.0
544,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),207,195.04418828049955,187.0,194.0,203.0
334,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),171,196.15769593956563,188.0,195.0,203.0
712,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),36,201.12034383954156,193.0,201.0,207.0
670,8,787,755,57,39,0.0902,clIscA1/clCry4(LB +FAC),27,198.984126984127,190.0,198.0,206.0
