,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
5,511,483,66,43,0.1201,clIscA1/clCry4(LB +FAC),108,198.4687987519501,192.0,198.0,204.0
5,656,472,63,42,0.1101,clIscA1/clCry4,108,203.10008203445446,196.0,204.0,208.0
5,802,470,60,39,0.1202,clIscA1/clCry4(LB +FAC),108,194.97433628318583,188.0,196.0,199.0
5,942,472,59,39,0.1102,clIscA1/clCry4,108,185.64954128440368,179.0,186.0,189.0
6,381,575,69,44,0.0601,clIscA1/clCry4(LB +FAC),108,195.9107629427793,188.0,197.0,202.0
6,514,579,64,43,0.1101,clIscA1/clCry4(LB +FAC),108,197.84873949579833,190.0,197.0,205.0
6,655,572,61,40,0.1001,clIscA1/clCry4,108,192.99481865284974,186.0,193.0,198.0
6,788,574,60,41,0.1102,clIscA1/clCry4(LB +FAC),108,191.4911541701769,186.0,191.0,197.0
6,939,571,59,38,0.1002,clIscA1/clCry4,108,184.45152354570638,179.0,185.0,188.0
7,394,675,68,44,0.0702,clIscA1/clCry4(LB +FAC),108,194.83357771260998,188.0,195.0,200.0
7,538,669,62,40,0.1001,clIscA1/clCry4(LB +FAC),108,200.40271877655056,190.0,199.0,208.0
7,658,664,58,38,0.1003,clIscA1/clCry4,108,202.09399224806202,196.0,200.0,208.0
7,793,667,59,38,0.1002,clIscA1/clCry4(LB +FAC),108,196.98130841121494,190.0,197.0,202.0
7,940,670,55,38,0.1004,clIscA1/clCry4,108,195.34808853118713,188.0,196.0,200.0
8,418,767,67,42,0.0602,clIscA1/clCry4(LB +FAC),108,191.11458333333334,181.0,191.0,198.0
8,552,761,54,35,0.0901,clIscA1/clCry4(LB +FAC),108,188.8312985571587,179.0,188.0,197.0
8,690,758,48,33,0.0902,clIscA1/clCry4,108,177.4920424403183,169.0,178.0,183.0
8,793,757,47,32,0.0902,clIscA1/clCry4(LB +FAC),108,179.6,171.0,179.0,187.0
8,917,763,51,32,0.0903,clIscA1/clCry4,108,181.60124223602483,176.0,181.0,186.0
1,390,93,63,41,0.0901,clIscA1/clCry4,117,185.89814814814815,178.0,186.0,191.0
1,512,90,56,40,0.1701,clIscA1/clCry4(LB +FAC),117,180.2728127939793,174.0,180.0,185.0
1,657,87,51,35,0.1501,clIscA1/clCry4,117,162.1744054360136,156.0,163.0,165.0
1,795,85,50,36,0.1702,clIscA1/clCry4(LB +FAC),117,166.58131487889273,159.0,167.0,171.0
1,909,88,54,37,0.1502,clIscA1/clCry4,117,168.01003009027082,163.0,167.0,172.0
1,1037,85,51,34,0.0001,clIscA1,117,176.67995169082127,170.0,176.0,182.0
2,376,188,63,41,0.0701,clIscA1/clCry4,117,196.67116759332805,193.0,196.0,201.0
2,518,188,61,41,0.1501,clIscA1/clCry4(LB +FAC),117,201.40871710526315,194.0,202.0,207.0
2,640,187,60,40,0.1301,clIscA1/clCry4,117,188.1894647408666,183.0,188.0,192.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),117,197.83695652173913,193.0,198.0,202.0
2,939,177,55,36,0.1302,clIscA1/clCry4,117,184.53249475890985,178.0,185.0,189.0
2,1048,183,54,34,0.0002,clIscA1,117,177.18729096989966,169.0,177.0,184.0
3,380,289,66,42,0.0801,clIscA1/clCry4,117,198.26384615384615,190.0,198.0,205.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),117,209.93587662337663,202.0,210.0,216.0
3,652,295,60,42,0.1303,clIscA1/clCry4,117,192.20326530612246,186.0,193.0,196.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),117,207.0721649484536,202.0,206.0,212.0
3,922,274,58,39,0.1304,clIscA1/clCry4,117,194.25918944392083,187.0,195.0,198.0
4,380,384,69,46,0.0702,clIscA1/clCry4,117,194.7127147766323,187.0,195.0,201.0
4,512,381,62,41,0.1301,clIscA1/clCry4(LB +FAC),117,194.78467741935484,188.0,195.0,201.0
4,656,381,61,40,0.1201,clIscA1/clCry4,117,207.77095937770096,200.0,207.0,215.0
